price,area,status,bhk,location,bath,City
33400000,1894,Under Construction,3,Kotturpuram,2,Chennai
21900000,1233,Under Construction,2,Kotturpuram,1,Chennai
33200000,1877,Under Construction,3,Kotturpuram,2,Chennai
33100000,1874,Under Construction,3,Kotturpuram,2,Chennai
35000000,1987,Under Construction,3,Kotturpuram,2,Chennai
5475000,1020,Ready to move,2,Kovur,2,Chennai
3858000,819,Ready to move,2,Kovur,2,Chennai
3823000,815,Ready to move,2,Kovur,2,Chennai
4100000,874,Ready to move,2,Kovur,3,Chennai
3853000,799,Ready to move,2,Kovur,2,Chennai
5400000,1000,Ready to move,2,Kovur,3,Chennai
5500000,1000,Ready to move,2,Kovur,3,Chennai
4400000,938,Ready to move,2,Kovur,2,Chennai
3642000,710,Ready to move,1,Kovur,2,Chennai
5500000,1020,Ready to move,2,Kovur,2,Chennai
4600000,914,Ready to move,2,Kovur,2,Chennai
7300000,1400,Under Construction,3,Kovur,3,Chennai
8923000,1373,Under Construction,3,Koyambedu,2,Chennai
9664000,1487,Under Construction,3,Koyambedu,2,Chennai
7681000,1182,Under Construction,2,Koyambedu,1,Chennai
6661000,1025,Under Construction,2,Koyambedu,1,Chennai
9709000,1494,Under Construction,3,Koyambedu,2,Chennai
6713000,1033,Under Construction,2,Koyambedu,1,Chennai
7070000,1088,Under Construction,2,Koyambedu,1,Chennai
8351000,1285,Under Construction,2,Koyambedu,1,Chennai
7343000,1130,Under Construction,2,Koyambedu,1,Chennai
9014000,1387,Under Construction,3,Koyambedu,2,Chennai
7324000,1127,Under Construction,2,Koyambedu,1,Chennai
9534000,1467,Under Construction,3,Koyambedu,2,Chennai
7350000,1131,Under Construction,2,Koyambedu,1,Chennai
4009000,853,Under Construction,2,Kundrathur,1,Chennai
3849000,819,Under Construction,2,Kundrathur,1,Chennai
3877000,825,Under Construction,2,Kundrathur,1,Chennai
3872000,824,Under Construction,2,Kundrathur,1,Chennai
8037000,1576,Ready to move,3,Kundrathur,2,Chennai
7889000,1547,Ready to move,3,Kundrathur,2,Chennai
8068000,1582,Ready to move,3,Kundrathur,2,Chennai
7089000,1390,Ready to move,3,Kundrathur,2,Chennai
7415000,1454,Ready to move,3,Kundrathur,2,Chennai
7094000,1391,Ready to move,3,Kundrathur,2,Chennai
7966000,1562,Ready to move,3,Kundrathur,2,Chennai
3750000,845,Ready to move,2,Kundrathur,2,Chennai
4600000,800,Ready to move,2,Kundrathur,1,Chennai
7400000,1300,Ready to move,3,Madambakkam,3,Chennai
6900000,1200,Ready to move,2,Madambakkam,2,Chennai
8500000,1683,Ready to move,3,Madambakkam,3,Chennai
8000000,1561,Ready to move,3,Madambakkam,3,Chennai
7700000,1483,Ready to move,3,Madambakkam,3,Chennai
9120000,1900,Ready to move,3,Madambakkam,3,Chennai
7828000,1631,Ready to move,3,Madambakkam,3,Chennai
7142000,1488,Ready to move,3,Madambakkam,3,Chennai
6715000,1399,Ready to move,3,Madambakkam,3,Chennai
4881000,1017,Ready to move,2,Madambakkam,2,Chennai
4752000,990,Ready to move,2,Madambakkam,2,Chennai
6561000,1238,Ready to move,3,Madambakkam,3,Chennai
6185000,1167,Ready to move,3,Madambakkam,3,Chennai
4881000,921,Ready to move,2,Madambakkam,2,Chennai
4664000,880,Ready to move,2,Madambakkam,2,Chennai
6417000,1310,Under Construction,3,Madhavaram,2,Chennai
7647000,1561,Under Construction,3,Madhavaram,2,Chennai
8171000,1668,Under Construction,3,Madhavaram,2,Chennai
5158000,1053,Under Construction,2,Madhavaram,1,Chennai
4859000,992,Under Construction,2,Madhavaram,1,Chennai
6334000,1293,Under Construction,3,Madhavaram,2,Chennai
7647000,1561,Under Construction,3,Madhavaram,2,Chennai
6383000,1303,Under Construction,3,Madhavaram,2,Chennai
5741000,1172,Under Construction,2,Madhavaram,1,Chennai
4874000,995,Under Construction,2,Madhavaram,1,Chennai
6231000,1272,Under Construction,3,Madhavaram,2,Chennai
8200000,1674,Under Construction,3,Madhavaram,2,Chennai
6270000,1280,Under Construction,3,Madhavaram,2,Chennai
7456000,1522,Under Construction,3,Madhavaram,2,Chennai
6417000,1310,Under Construction,3,Madhavaram,2,Chennai
6966000,1422,Under Construction,3,Madhavaram,2,Chennai
4869000,994,Under Construction,2,Madhavaram,1,Chennai
6966000,1422,Under Construction,3,Madhavaram,2,Chennai
4869000,994,Under Construction,2,Madhavaram,1,Chennai
4859000,992,Under Construction,2,Madhavaram,1,Chennai
6334000,1293,Under Construction,3,Madhavaram,2,Chennai
6383000,1303,Under Construction,3,Madhavaram,2,Chennai
5741000,1172,Under Construction,2,Madhavaram,1,Chennai
4874000,995,Under Construction,2,Madhavaram,1,Chennai
6231000,1272,Under Construction,3,Madhavaram,2,Chennai
6270000,1280,Under Construction,3,Madhavaram,2,Chennai
